x_parameter,dataset,competitor,metric
0.2,Chinatown,dqn,2.2495082313019568
0.2,Chinatown,dqn_sr,2.2495082313019568
0.2,Chinatown,stopping_rule,2.2495082313019568
0.2,Chinatown,proba_threshold,2.2495082313019568
0.2,Crop,dqn,1.932309657722656
0.2,Crop,dqn_sr,1.9004607769674962
0.2,Crop,stopping_rule,1.8441739023744579
0.2,Crop,proba_threshold,1.9315157533157112
0.2,DhakaHourlyAirQuality,dqn,2.599360187044516
0.2,DhakaHourlyAirQuality,dqn_sr,2.8177462195850653
0.2,DhakaHourlyAirQuality,stopping_rule,2.599360187044516
0.2,DhakaHourlyAirQuality,proba_threshold,2.599360187044516
0.2,DodgerLoopDay,dqn,3.266555378840709
0.2,DodgerLoopDay,dqn_sr,2.554321663784911
0.2,DodgerLoopDay,stopping_rule,2.157767066277302
0.2,DodgerLoopDay,proba_threshold,3.0122184720097507
0.2,ElectricityPredictor,dqn,5.056763581897951
0.2,ElectricityPredictor,dqn_sr,5.056763581897951
0.2,ElectricityPredictor,stopping_rule,5.056763581897951
0.2,ElectricityPredictor,proba_threshold,5.056763581897951
0.2,EOGVerticalSignal,dqn,2.640189920804489
0.2,EOGVerticalSignal,dqn_sr,2.640189920804489
0.2,EOGVerticalSignal,stopping_rule,2.640189920804489
0.2,EOGVerticalSignal,proba_threshold,2.640189920804489
0.2,FloodModeling3,dqn,4.829202597258159
0.2,FloodModeling3,dqn_sr,4.843033959341293
0.2,FloodModeling3,stopping_rule,4.829202597258159
0.2,FloodModeling3,proba_threshold,4.829202597258159
0.2,GestureMidAirD1,dqn,1.9698854274745494
0.2,GestureMidAirD1,dqn_sr,1.9698854274745494
0.2,GestureMidAirD1,stopping_rule,1.9698854274745494
0.2,GestureMidAirD1,proba_threshold,1.9698854274745494
0.2,GunPointAgeSpan,dqn,2.6846683190040044
0.2,GunPointAgeSpan,dqn_sr,2.519998814857869
0.2,GunPointAgeSpan,stopping_rule,2.981399762777867
0.2,GunPointAgeSpan,proba_threshold,4.462663199484574
0.2,HouseholdPowerConsumption1,dqn,4.938500649682242
0.2,HouseholdPowerConsumption1,dqn_sr,4.774078438678345
0.2,HouseholdPowerConsumption1,stopping_rule,4.884936729116446
0.2,HouseholdPowerConsumption1,proba_threshold,4.9435651079031535
0.2,HouseTwenty,dqn,1.879774318483122
0.2,HouseTwenty,dqn_sr,1.9416502372129698
0.2,HouseTwenty,stopping_rule,1.562027011590027
0.2,HouseTwenty,proba_threshold,3.556872777507587
0.2,HotwaterPredictor,dqn,3.855917242896476
0.2,HotwaterPredictor,dqn_sr,4.55821879086196
0.2,HotwaterPredictor,stopping_rule,4.046964818533531
0.2,HotwaterPredictor,proba_threshold,3.855917242896476
0.2,InsectEPGRegularTrain,dqn,1.0144984425922257
0.2,InsectEPGRegularTrain,dqn_sr,1.0144984425922257
0.2,InsectEPGRegularTrain,stopping_rule,1.8547697357561377
0.2,InsectEPGRegularTrain,proba_threshold,1.0144984425922257
0.2,MadridPM10Quality_nmv,dqn,5.029619334992296
0.2,MadridPM10Quality_nmv,dqn_sr,5.038297261927527
0.2,MadridPM10Quality_nmv,stopping_rule,5.029619334992296
0.2,MadridPM10Quality_nmv,proba_threshold,5.029619334992296
0.2,MelbournePedestrian,dqn,3.4182355206500064
